N=50000,graph=ba,method=gmla,r=0.15,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000)
rank,precision
8,0.0
1000,0.0
1,1.0
4,0.0
5,0.0
17,0.0
1000,0.0
1000,0.0
2,0.0
1000,0.0
48,0.0
18,0.0
6,0.0
1,1.0
1,1.0
1000,0.0
3,0.0
76,0.0
137,0.0
3,0.0
27,0.0
1000,0.0
1,1.0
148,0.0
7,0.0
7,0.0
1000,0.0
7,0.0
2,0.0
1000,0.0
24,0.0
1,1.0
5,0.0
1000,0.0
1000,0.0
9,0.0
6,0.0
2,0.0
3,0.0
1,1.0
1000,0.0
4,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
4,0.0
88,0.0
15,0.0
1,1.0
30,0.0
9,0.0
1,1.0
1000,0.0
1,1.0
1,1.0
8,0.0
1000,0.0
1,1.0
1,1.0
1000,0.0
23,0.0
2,0.0
16,0.0
27,0.0
45,0.0
18,0.0
4,0.0
4,0.0
4,0.0
20,0.0
1000,0.0
6,0.0
49,0.0
1,1.0
3,0.0
1,1.0
1,1.0
4,0.0
16,0.0
1000,0.0
1000,0.0
23,0.0
1,1.0
1,1.0
2,0.0
1,1.0
9,0.0
3,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
47,0.0
2,0.0
10,0.0
46,0.0
6,0.0
1,1.0
11,0.0
52,0.0
3,0.0
1,1.0
1000,0.0
1,1.0
2,0.0
2,0.0
56,0.0
2,0.0
1000,0.0
1000,0.0
34,0.0
40,0.0
1,1.0
1000,0.0
9,0.0
1000,0.0
1,1.0
1,1.0
22,0.0
1000,0.0
1,1.0
1000,0.0
10,0.0
12,0.0
6,0.0
1,1.0
1,1.0
1,1.0
1000,0.0
1,1.0
11,0.0
1,1.0
1000,0.0
1000,0.0
19,0.0
1,1.0
1000,0.0
9,0.0
2,0.0
1,1.0
4,0.0
1,1.0
20,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.0
1000,0.0
1,1.0
1000,0.0
4,0.0
13,0.0
2,0.0
31,0.0
41,0.0
17,0.0
7,0.0
1000,0.0
80,0.0
90,0.0
1,1.0
1000,0.0
1,1.0
1,1.0
1,1.0
6,0.0
11,0.0
1000,0.0
3,0.0
1,1.0
30,0.0
29,0.0
7,0.0
4,0.0
1000,0.0
1,1.0
4,0.0
1000,0.0
1000,0.0
1,1.0
1,1.0
34,0.0
23,0.0
1,1.0
2,0.0
20,0.0
1,1.0
3,0.0
1000,0.0
1000,0.0
26,0.0
1,1.0
8,0.0
1000,0.0
1000,0.0
39,0.0
43,0.0
1000,0.0
1,1.0
4,0.0
1000,0.0
1000,0.0
61,0.0
1,1.0
1,1.0
5,0.0
3,0.2
7,0.0
1,1.0
10,0.0
2,0.0
3,0.0
1,1.0
3,0.0
1,1.0
6,0.0
1000,0.0
3,0.0
17,0.0
9,0.0
24,0.0
5,0.0
1,1.0
2,0.0
1000,0.0
1,1.0
67,0.0
3,0.0
32,0.0
1,1.0
28,0.0
53,0.0
29,0.0
1,1.0
9,0.0
1,1.0
49,0.0
1000,0.0
8,0.0
15,0.0
1,1.0
1,1.0
65,0.0
1,1.0
17,0.0
90,0.0
1,1.0
2,0.0
5,0.16666666666666666
1,1.0
1000,0.0
1,1.0
1,1.0
9,0.0
1000,0.0
2,0.0
27,0.0
2,0.0
2,0.0
2,0.0
8,0.0
1000,0.0
1,1.0
8,0.0
1,1.0
8,0.0
6,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
5,0.0
3,0.14285714285714285
3,0.0
11,0.0
4,0.0
24,0.0
1,1.0
1000,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
51,0.0
1000,0.0
42,0.0
14,0.0
1,1.0
4,0.0
12,0.0
58,0.0
9,0.0
1000,0.0
25,0.0
56,0.0
1,1.0
3,0.0
13,0.0
1000,0.0
6,0.0
2,0.0
12,0.0
16,0.0
1,1.0
3,0.0
1,1.0
2,0.0
1000,0.0
20,0.0
2,0.0
64,0.0
1000,0.0
1,1.0
2,0.0
1,1.0
25,0.0
1,1.0
4,0.0
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
6,0.0
1,1.0
4,0.0
12,0.0
5,0.0
1,1.0
67,0.0
1000,0.0
18,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
3,0.0
17,0.0
1000,0.0
15,0.0
1000,0.0
6,0.0
3,0.0
2,0.0
4,0.0
11,0.0
3,0.0
40,0.0
18,0.0
6,0.0
35,0.0
1000,0.0
2,0.0
18,0.0
13,0.0
13,0.0
3,0.0
36,0.0
1,1.0
1000,0.0
1000,0.0
1000,0.0
20,0.0
1,1.0
1,1.0
4,0.0
27,0.0
13,0.0
1000,0.0
2,0.0
6,0.0
1,1.0
1000,0.0
1000,0.0
1,1.0
1000,0.0
1000,0.0
1,1.0
1,1.0
5,0.0
1000,0.0
5,0.0
2,0.0
84,0.0
3,0.0
1,1.0
12,0.0
1000,0.0
1,1.0
4,0.0
2,0.0
1000,0.0
1,1.0
2,0.0
6,0.0
1000,0.0
1,1.0
11,0.0
6,0.0
1,1.0
2,0.0
1,1.0
3,0.0
71,0.0
1000,0.0
44,0.0
9,0.0
18,0.0
1,1.0
4,0.0
29,0.0
1,1.0
1000,0.0
1,1.0
1,1.0
1,1.0
59,0.0
25,0.0
1000,0.0
62,0.0
1000,0.0
1,1.0
6,0.0
1,1.0
1,1.0
1,0.5
31,0.0
22,0.0
2,0.0
1,1.0
26,0.0
16,0.0
1000,0.0
49,0.0
7,0.0
17,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
9,0.0
3,0.0
23,0.0
1000,0.0
5,0.0
1000,0.0
2,0.0
1,1.0
1000,0.0
1000,0.0
5,0.0
1000,0.0
1,1.0
1,1.0
89,0.0
1,1.0
9,0.0
2,0.0
1000,0.0
19,0.0
7,0.0
22,0.0
1,1.0
6,0.0
5,0.0
20,0.0
1,1.0
1,1.0
5,0.0
16,0.0
1,1.0
1000,0.0
2,0.5
103,0.0
1,1.0
3,0.0
1000,0.0
6,0.0
4,0.0
1,1.0
1,1.0
1,1.0
1000,0.0
1000,0.0
1,1.0
106,0.0
5,0.0
27,0.0
1000,0.0
1,1.0
1000,0.0
2,0.0
1,1.0
14,0.0
6,0.0
1,1.0
17,0.0
1,1.0
3,0.0
79,0.0
1,1.0
2,0.0
1000,0.0
2,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
77,0.0
1000,0.0
1000,0.0
12,0.0
1000,0.0
1,1.0
1,1.0
3,0.0
2,0.0
1000,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
5,0.0
15,0.0
1000,0.0
36,0.0
37,0.0
4,0.0
10,0.0
1000,0.0
1000,0.0
70,0.0
20,0.0
1,1.0
10,0.0
15,0.0
1000,0.0
18,0.0
1000,0.0
1,1.0
3,0.0
18,0.0
1,1.0
1,1.0
3,0.0
1000,0.0
7,0.0
1000,0.0
1000,0.0
2,0.0
8,0.0
1,1.0
2,0.2
2,0.0
1000,0.0
39,0.0
1,1.0
3,0.0
10,0.0
48,0.0
10,0.0
1,1.0
43,0.0
1000,0.0
10,0.0
21,0.0
130,0.0
1000,0.0
4,0.0
1000,0.0
1,1.0
1,1.0
2,0.0
1000,0.0
24,0.0
6,0.0
2,0.0
1000,0.0
12,0.0
1000,0.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1000,0.0
5,0.0
1,1.0
1000,0.0
3,0.0
84,0.0
2,0.0
2,0.0
20,0.0
1000,0.0
24,0.0
1,1.0
1000,0.0
4,0.0
4,0.0
32,0.0
1,1.0
39,0.0
1000,0.0
1000,0.0
3,0.0
1000,0.0
2,0.0
1,1.0
17,0.0
1000,0.0
6,0.0
1,1.0
1,1.0
5,0.0
3,0.0
2,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1000,0.0
1,1.0
26,0.0
1000,0.0
1000,0.0
1000,0.0
32,0.0
9,0.0
7,0.0
1,1.0
1000,0.0
10,0.0
1000,0.0
18,0.0
2,0.0
2,0.0
10,0.0
3,0.0
1,1.0
1000,0.0
1000,0.0
1,0.5
1,1.0
36,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1000,0.0
1000,0.0
2,0.0
11,0.0
155,0.0
3,0.0
4,0.0
4,0.0
13,0.0
1000,0.0
73,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
6,0.0
1,1.0
2,0.0
4,0.0
30,0.0
36,0.0
1,1.0
41,0.0
8,0.0
33,0.0
1,1.0
1000,0.0
1000,0.0
5,0.0
1,1.0
1,1.0
4,0.0
1,1.0
8,0.125
11,0.0
1,1.0
77,0.0
13,0.0
4,0.0
1000,0.0
8,0.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1000,0.0
9,0.0
1000,0.0
52,0.0
9,0.0
1000,0.0
1000,0.0
12,0.0
1,1.0
2,0.0
1000,0.0
1000,0.0
46,0.0
11,0.0
13,0.0
6,0.0
4,0.0
1000,0.0
1,1.0
8,0.0
7,0.0
4,0.0
1,1.0
1,1.0
36,0.0
36,0.0
1,1.0
21,0.0
3,0.0
1,1.0
1,1.0
11,0.0
2,0.0
1,1.0
1,1.0
1,1.0
6,0.0
1000,0.0
1,1.0
1,1.0
4,0.0
1000,0.0
1000,0.0
2,0.0
3,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
1000,0.0
2,0.0
1,1.0
1000,0.0
1,1.0
22,0.0
61,0.0
7,0.0
15,0.0
1,1.0
1,1.0
15,0.0
1,1.0
1000,0.0
1000,0.0
1000,0.0
2,0.0
1000,0.0
1,1.0
1,1.0
5,0.0
2,0.0
4,0.0
1,1.0
1000,0.0
11,0.0
108,0.0
1000,0.0
15,0.0
1000,0.0
1000,0.0
1000,0.0
1,1.0
28,0.0
5,0.0
1000,0.0
16,0.0
1,1.0
3,0.0
1,1.0
4,0.0
1,1.0
1,1.0
33,0.0
1,1.0
2,0.0
10,0.0
27,0.0
1,1.0
1,1.0
13,0.0
6,0.0
13,0.0
6,0.0
8,0.0
2,0.0
1000,0.0
5,0.0
6,0.0
1,1.0
1,1.0
10,0.0
3,0.0
1000,0.0
14,0.0
1000,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
2,0.0
79,0.0
33,0.0
1000,0.0
1,1.0
1000,0.0
7,0.0
3,0.0
1,1.0
27,0.0
54,0.0
1000,0.0
2,0.0
1,1.0
3,0.0
1000,0.0
1000,0.0
5,0.0
1000,0.0
5,0.0
1,1.0
6,0.0
41,0.0
95,0.0
5,0.0
1000,0.0
9,0.0
21,0.0
7,0.0
60,0.0
1,1.0
4,0.0
3,0.0
7,0.0
14,0.0
1,1.0
22,0.0
1,1.0
10,0.0
37,0.0
8,0.0
2,0.0
1,1.0
11,0.0
1000,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1000,0.0
34,0.0
1000,0.0
1000,0.0
31,0.0
5,0.0
1,1.0
1,1.0
1000,0.0
1,1.0
1,1.0
5,0.0
2,0.0
1000,0.0
3,0.0
1000,0.0
1000,0.0
29,0.0
2,0.0
2,0.0
1000,0.0
2,0.0
1,1.0
3,0.0
1,1.0
10,0.0
1,1.0
5,0.16666666666666666
1000,0.0
3,0.0
1,1.0
5,0.14285714285714285
1,1.0
1000,0.0
1000,0.0
2,0.0
1000,0.0
6,0.0
2,0.0
1000,0.0
72,0.0
3,0.0
1000,0.0
3,0.0
12,0.0
8,0.0
7,0.0
1,1.0
1000,0.0
4,0.0
4,0.0
1,1.0
1,1.0
1000,0.0
8,0.0
63,0.0
3,0.0
2,0.0
1000,0.0
1000,0.0
7,0.0
27,0.0
1,1.0
40,0.0
46,0.0
1000,0.0
7,0.0
1,1.0
10,0.0
1,1.0
1000,0.0
15,0.0
1,1.0
3,0.0
57,0.0
1,1.0
4,0.0
27,0.0
1000,0.0
6,0.0
2,0.0
6,0.0
1,1.0
6,0.0
1000,0.0
98,0.0
1000,0.0
8,0.0
1,1.0
5,0.0
1000,0.0
2,0.0
28,0.0
1000,0.0
1000,0.0
13,0.0
2,0.0
26,0.0
1000,0.0
4,0.0
1,1.0
1000,0.0
1000,0.0
11,0.0
80,0.0
1,1.0
57,0.0
1000,0.0
2,0.0
2,0.0
22,0.0
30,0.0
1000,0.0
1,1.0
1,1.0
1000,0.0
1,1.0
1000,0.0
1000,0.0
5,0.0
1,1.0
10,0.0
1000,0.0
1000,0.0
3,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
4,0.0
12,0.0
1,1.0
5,0.0
1,1.0
21,0.0
2,0.0
1000,0.0
1,1.0
19,0.0
47,0.0
1000,0.0
1,1.0
43,0.0
6,0.0
1,1.0
1000,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1000,0.0
3,0.0
3,0.0
1,1.0
17,0.0
1,1.0
5,0.0
7,0.0
1,1.0
1,1.0
1,1.0
58,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
5,0.0
1,1.0
1000,0.0
3,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
1000,0.0
1,1.0
1,1.0
1000,0.0
2,0.0
40,0.0
51,0.0
49,0.0
1,1.0
1,1.0
25,0.0
8,0.0
1000,0.0
1000,0.0
16,0.0
2,0.0
1000,0.0
52,0.0
13,0.0
9,0.0
1,1.0
53,0.0
1,1.0
2,0.0
13,0.0
9,0.0
20,0.0
1,1.0
27,0.0
1,1.0
64,0.0
7,0.0
94,0.0
5,0.0
1000,0.0
2,0.5
1000,0.0
1000,0.0
1,1.0
2,0.0
10,0.0
1000,0.0
4,0.0
15,0.0
20,0.0
8,0.0
1,1.0
2,0.0
1,1.0
3,0.0
1000,0.0
1000,0.0
3,0.0
16,0.0
1,1.0
25,0.0
1000,0.0
10,0.0
1000,0.0
45,0.0
12,0.0
1,1.0
1000,0.0
1,1.0
1,1.0
1,1.0
1000,0.0
1,1.0
1,1.0
8,0.0
1,1.0
1,1.0
3,0.0
1,1.0
27,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
3,0.0
6,0.0
2,0.0
20,0.0
7,0.0
1,1.0
7,0.0
1,1.0
7,0.0
1,1.0
36,0.0
9,0.0
5,0.0
5,0.0
2,0.0
3,0.0
1,1.0
1000,0.0
2,0.0
1,1.0
31,0.0
1,1.0
1000,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1000,0.0
1,1.0
10,0.0
1,1.0
1,1.0
1000,0.0
1,1.0
1,1.0
41,0.0
2,0.0
1,1.0
47,0.0
2,0.0
1000,0.0
1000,0.0
1,1.0
50,0.0
1,1.0
1000,0.0
1,1.0
16,0.0
11,0.0
3,0.0
1,1.0
1,1.0
1,1.0
41,0.0
34,0.0
3,0.0
1000,0.0
1000,0.0
1,1.0
1000,0.0
9,0.0
51,0.0
31,0.0
33,0.0
1000,0.0
1000,0.0
44,0.0
1,1.0
1,1.0
11,0.0
1,1.0
12,0.0
3,0.0
11,0.0
1000,0.0
1000,0.0
9,0.0
5,0.0
36,0.0
1,1.0
7,0.0
1,1.0
1,0.5
7,0.0
2,0.0
1,1.0
40,0.0
1,1.0
8,0.0
1,1.0
4,0.0
1,1.0
1,1.0
1000,0.0
28,0.0
1,1.0
1000,0.0
15,0.0
18,0.0
14,0.0
15,0.0
1,1.0
30,0.0
1,1.0
1,1.0
1000,0.0
1000,0.0
1000,0.0
10,0.0
1000,0.0
1,1.0
1,1.0
8,0.0
41,0.0
5,0.0
1,1.0
1,1.0
1,1.0
5,0.0
67,0.0
1,1.0
1,1.0
19,0.0
24,0.0
11,0.0
1000,0.0
106,0.0
9,0.0
32,0.0
1,1.0
1000,0.0
1000,0.0
1,1.0
1,1.0
39,0.0
1,1.0
18,0.0
2,0.0
12,0.0
1000,0.0
1000,0.0
5,0.0
2,0.0
18,0.0
95,0.0
1,1.0
6,0.0
1,1.0
1,1.0
1000,0.0
2,0.0
2,0.0
1,1.0
1000,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
2,0.0
6,0.0
6,0.0
1,1.0
1,1.0
1000,0.0
15,0.0
45,0.0
24,0.0
2,0.0
1,1.0
1000,0.0
1000,0.0
3,0.0
1,1.0
35,0.0
1,1.0
6,0.0
1,1.0
2,0.0
1,1.0
3,0.0
48,0.0
8,0.0
1000,0.0
4,0.0
1,1.0
1,1.0
2,0.0
3,0.0
3,0.0
14,0.0
2,0.0
15,0.0
20,0.0
1000,0.0
1,1.0
5,0.0
2,0.0
23,0.0
1,1.0
4,0.0
1000,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
3,0.0
14,0.0
21,0.0
1000,0.0
14,0.0
24,0.0
1,1.0
17,0.0
1000,0.0
143,0.0
1000,0.0
11,0.0
8,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1000,0.0
4,0.0
24,0.0
8,0.0
1,1.0
1000,0.0
12,0.0
1,1.0
1,1.0
1,1.0
1000,0.0
1,1.0
74,0.0
13,0.0
1000,0.0
1000,0.0
1,1.0
1,1.0
1000,0.0
1000,0.0
1,1.0
1000,0.0
1000,0.0
1000,0.0
67,0.0
1,1.0
3,0.0
5,0.0
5,0.0
13,0.0
15,0.0
2,0.0
1,1.0
1000,0.0
11,0.0
3,0.0
1,1.0
5,0.0
1,1.0
9,0.0
76,0.0
1,1.0
1,1.0
1000,0.0
2,0.0
1000,0.0
20,0.0
1,1.0
9,0.0
18,0.0
88,0.0
1000,0.0
1,1.0
8,0.0
23,0.0
5,0.0
1,1.0
1,1.0
5,0.0
5,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
1,1.0
1,1.0
30,0.0
1000,0.0
10,0.0
1,1.0
2,0.0
14,0.0
1,1.0
3,0.0
3,0.0
1000,0.0
54,0.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.0
1,1.0
8,0.0
1000,0.0
1,1.0
2,0.0
55,0.0
1,1.0
1,1.0
1,1.0
9,0.0
28,0.0
3,0.0
1000,0.0
1000,0.0
4,0.0
11,0.0
1,1.0
4,0.0
1,1.0
2,0.0
3,0.0
3,0.0
1,1.0
26,0.0
5,0.0
8,0.0
3,0.0
1,1.0
8,0.0
4,0.0
1000,0.0
1000,0.0
1,1.0
4,0.0
1000,0.0
1000,0.0
4,0.0
1,1.0
1000,0.0
3,0.0
2,0.0
2,0.0
26,0.0
5,0.0
17,0.0
1,1.0
1,1.0
54,0.0
1000,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
6,0.0
3,0.0
2,0.0
33,0.0
1,1.0
69,0.0
3,0.0
2,0.0
1000,0.0
1,1.0
10,0.0
1000,0.0
1000,0.0
1,1.0
16,0.0
2,0.16666666666666666
6,0.0
1000,0.0
1,1.0
14,0.0
1,1.0
1000,0.0
3,0.0
1,1.0
4,0.0
1,1.0
13,0.0
1000,0.0
1000,0.0
1,1.0
21,0.0
1,1.0
1,1.0
14,0.0
1,1.0
63,0.0
1000,0.0
4,0.0
4,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
1000,0.0
2,0.0
2,0.0
1000,0.0
1000,0.0
70,0.0
50,0.0
80,0.0
2,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
47,0.0
3,0.0
1,1.0
1,1.0
2,0.0
35,0.0
1,1.0
3,0.0
60,0.0
3,0.0
1,1.0
5,0.0
6,0.0
1000,0.0
54,0.0
1,1.0
2,0.0
5,0.0
1000,0.0
1000,0.0
4,0.0
1,1.0
3,0.0
1,1.0
3,0.0
2,0.0
35,0.0
1000,0.0
3,0.0
4,0.0
2,0.0
1,1.0
8,0.0
1000,0.0
1000,0.0
1000,0.0
3,0.0
1000,0.0
1000,0.0
1,1.0
2,0.0
1000,0.0
1000,0.0
1000,0.0
2,0.0
1000,0.0
4,0.0
3,0.0
2,0.0
14,0.0
2,0.0
2,0.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
2,0.0
7,0.0
1000,0.0
2,0.0
3,0.0
1,1.0
10,0.0
1000,0.0
1,1.0
1000,0.0
3,0.0
1,1.0
5,0.0
22,0.0
2,0.0
9,0.0
91,0.0
1000,0.0
1000,0.0
2,0.0
1,1.0
10,0.0
1,1.0
18,0.0
33,0.0
7,0.0
5,0.0
30,0.0
6,0.0
2,0.0
17,0.0
1,1.0
49,0.0
4,0.0
19,0.0
1000,0.0
1000,0.0
5,0.0
46,0.0
2,0.0
1,1.0
68,0.0
1,1.0
1,1.0
1000,0.0
3,0.0
19,0.0
29,0.0
2,0.0
1,1.0
15,0.0
33,0.0
4,0.0
27,0.0
1,1.0
18,0.0
3,0.0
3,0.0
6,0.0
1000,0.0
12,0.0
1,1.0
7,0.0
1000,0.0
1000,0.0
1,1.0
19,0.0
67,0.0
4,0.0
25,0.0
4,0.0
12,0.0
1,1.0
25,0.0
1000,0.0
2,0.0
1000,0.0
1000,0.0
1000,0.0
1,1.0
1,1.0
1000,0.0
1000,0.0
1,1.0
2,0.0
2,0.0
1,1.0
1000,0.0
1,1.0
1,1.0
1000,0.0
1000,0.0
1,1.0
127,0.0
1000,0.0
1,1.0
6,0.0
1,1.0
21,0.0
12,0.0
1,1.0
2,0.0
1,1.0
12,0.0
3,0.0
9,0.0
1,1.0
27,0.0
2,0.0
1000,0.0
5,0.0
1,1.0
34,0.0
15,0.0
1000,0.0
1,1.0
1,1.0
1,1.0
3,0.0
6,0.0
3,0.0
1,1.0
1,1.0
3,0.0
1,1.0
7,0.0
1,1.0
2,0.0
11,0.0
28,0.0
1000,0.0
6,0.0
30,0.0
145,0.0
24,0.0
1,1.0
17,0.0
2,0.0
1,1.0
66,0.0
1,1.0
1,1.0
1000,0.0
2,0.0
11,0.0
1,1.0
1,1.0
8,0.0
1000,0.0
1,1.0
1,1.0
24,0.0
9,0.0
10,0.0
1,1.0
3,0.0
16,0.0
1,1.0
1,1.0
3,0.0
1,1.0
2,0.0
1000,0.0
47,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1000,0.0
3,0.0
17,0.0
2,0.0
6,0.0
1,1.0
36,0.0
7,0.0
1,1.0
5,0.0
3,0.0
1,1.0
32,0.0
20,0.0
58,0.0
1,1.0
25,0.0
1000,0.0
4,0.0
3,0.0
2,0.0
1000,0.0
1,1.0
1000,0.0
10,0.0
1000,0.0
1000,0.0
1,1.0
1,1.0
3,0.0
53,0.0
51,0.0
1000,0.0
1,1.0
1,1.0
14,0.0
1,1.0
1000,0.0
8,0.0
20,0.0
1000,0.0
77,0.0
1,1.0
2,0.0
11,0.0
6,0.0
27,0.0
28,0.0
1,1.0
1000,0.0
1000,0.0
1000,0.0
35,0.0
58,0.0
15,0.0
1,1.0
1000,0.0
12,0.0
1,1.0
1,1.0
3,0.0
1,1.0
7,0.0
1,1.0
6,0.0
1000,0.0
3,0.0
1000,0.0
1,1.0
1,1.0
5,0.0
45,0.0
12,0.0
1,1.0
1,1.0
1000,0.0
13,0.0
1000,0.0
5,0.0
3,0.0
1000,0.0
1,1.0
11,0.0
1,1.0
14,0.0
1,1.0
1000,0.0
50,0.0
1000,0.0
1,1.0
1000,0.0
9,0.0
32,0.0
1,1.0
48,0.0
2,0.0
4,0.0
1,1.0
2,0.0
3,0.0
3,0.0
1,1.0
1,1.0
7,0.0
1,1.0
1000,0.0
2,0.0
15,0.0
1000,0.0
2,0.0
9,0.0
7,0.0
10,0.0
27,0.0
1,1.0
6,0.0
1,1.0
19,0.0
1,1.0
3,0.0
18,0.0
1,1.0
1,1.0
1,1.0
5,0.0
16,0.0
36,0.0
1,1.0
6,0.0
61,0.0
2,0.07142857142857142
13,0.0
16,0.0
1000,0.0
1000,0.0
5,0.0
15,0.0
1,1.0
1000,0.0
105,0.0
29,0.0
1,1.0
1,1.0
6,0.0
1000,0.0
14,0.0
8,0.0
6,0.0
6,0.0
52,0.0
1000,0.0
80,0.0
7,0.0
2,0.0
24,0.0
66,0.0
31,0.0
1,1.0
1000,0.0
1,1.0
1000,0.0
1,1.0
7,0.0
1000,0.0
2,0.0
7,0.0
7,0.0
1,1.0
1000,0.0
1000,0.0
2,0.0
9,0.0
1000,0.0
3,0.0
3,0.0
1,1.0
87,0.0
1,1.0
8,0.0
1,1.0
30,0.0
5,0.0
3,0.0
7,0.0
2,0.0
5,0.0
2,0.0
1,1.0
24,0.0
1,1.0
2,0.0
50,0.0
19,0.0
6,0.0
13,0.0
1000,0.0
1000,0.0
3,0.0
1,1.0
2,0.0
1000,0.0
22,0.0
1000,0.0
4,0.0
7,0.0
31,0.0
38,0.0
13,0.0
38,0.0
1000,0.0
1000,0.0
1,1.0
1000,0.0
1,1.0
2,0.0
5,0.0
36,0.0
1,1.0
5,0.0
2,0.0
31,0.0
1,1.0
4,0.0
74,0.0
1,1.0
1000,0.0
5,0.0
12,0.0
1000,0.0
2,0.0
3,0.0
1,1.0
1000,0.0
1,1.0
89,0.0
2,0.0
1,1.0
1000,0.0
2,0.0
1,1.0
42,0.0
4,0.0
1,1.0
1,1.0
6,0.0
3,0.0
21,0.0
18,0.0
1,1.0
6,0.0
1000,0.0
1,1.0
4,0.0
1000,0.0
1000,0.0
3,0.0
1,1.0
1,1.0
1,1.0
9,0.0
1,1.0
1,1.0
3,0.0
16,0.0
6,0.0
1,1.0
3,0.0
14,0.0
8,0.0
3,0.0
20,0.0
2,0.0
5,0.0
1000,0.0
1000,0.0
1,1.0
86,0.0
15,0.0
10,0.0
1000,0.0
31,0.0
2,0.0
3,0.0
13,0.0
1000,0.0
1,1.0
12,0.0
1,1.0
34,0.0
1,1.0
1000,0.0
3,0.0
1,1.0
2,0.0
1,1.0
16,0.0
16,0.0
1000,0.0
84,0.0
1,1.0
12,0.0
4,0.0
1,1.0
1,1.0
1000,0.0
1,1.0
3,0.0
1,1.0
5,0.0
4,0.0
1,1.0
1000,0.0
1000,0.0
1,1.0
4,0.0
1,1.0
30,0.0
6,0.0
1,1.0
1,1.0
14,0.0
10,0.0
35,0.0
21,0.0
1,1.0
10,0.0
1000,0.0
3,0.0
48,0.0
4,0.0
1,1.0
1000,0.0
2,0.0
1,1.0
16,0.0
1,1.0
1,1.0
3,0.0
2,0.0
1000,0.0
9,0.0
3,0.0
1,1.0
13,0.0
3,0.0
1,1.0
2,0.0
2,0.0
2,0.0
1000,0.0
1,1.0
15,0.0
4,0.0
1000,0.0
32,0.0
16,0.0
1,1.0
16,0.0
1,1.0
2,0.0
1000,0.0
2,0.0
126,0.0
1000,0.0
1000,0.0
2,0.0
1,1.0
4,0.0
1,1.0
4,0.0
41,0.0
13,0.0
1,1.0
2,0.16666666666666666
1,1.0
1000,0.0
1,1.0
50,0.0
7,0.0
1,1.0
1000,0.0
10,0.0
19,0.0
19,0.0
2,0.0
1000,0.0
2,0.0
1,1.0
4,0.0
55,0.0
1,1.0
2,0.0
23,0.0
1,1.0
12,0.0
8,0.0
1000,0.0
9,0.0
3,0.0
9,0.0
1000,0.0
20,0.0
1,1.0
21,0.0
1000,0.0
1,1.0
6,0.0
1,1.0
2,0.0
6,0.0
5,0.0
1,1.0
7,0.0
1000,0.0
1,1.0
15,0.0
1,0.5
1000,0.0
1000,0.0
1000,0.0
20,0.0
19,0.0
1,1.0
1000,0.0
1,1.0
29,0.0
8,0.0
14,0.0
1000,0.0
2,0.0
15,0.0
3,0.0
4,0.0
1000,0.0
1000,0.0
1,1.0
1000,0.0
1000,0.0
1000,0.0
28,0.0
1,1.0
5,0.0
3,0.0
22,0.0
1000,0.0
1,1.0
2,0.0
15,0.0
4,0.0
1,1.0
1,1.0
1,1.0
